Name,Gender,AllPpl,C1,C2,C3,C4,C5,C6 ,C7,C8
Dee,All,6901,456,1322,653,1210,556,1311,828,249
Dee,Males,3383,310,526,162,799,365,475,470,114
Dee,Females,3518,146,796,491,411,191,836,358,135
Denny and Banknock,All,13925,789,2589,2075,1035,1293,2249,2377,705
Denny and Banknock,Males,6755,513,1064,537,753,964,716,1505,369
Denny and Banknock,Females,7170,276,1525,1538,282,329,1533,872,336
Dingwall and Seaforth,All,8831,575,1809,1190,806,882,1576,1251,310
Dingwall and Seaforth,Males,4275,411,749,284,558,666,486,807,125
Dingwall and Seaforth,Females,4556,164,1060,906,248,216,1090,444,185
Doon Valley,All,8363,230,1141,860,598,931,1794,1744,602
Doon Valley,Males,4041,151,466,234,428,665,582,1030,293
Doon Valley,Females,4322,79,675,626,170,266,1212,714,309
Drum Brae / Gyle,All,16348,2106,3961,3018,1164,1038,2032,1336,548
Drum Brae / Gyle,Males,7913,1294,1775,879,836,769,734,786,238
Drum Brae / Gyle,Females,8435,812,2186,2139,328,269,1298,550,310
Drumchapel / Anniesland,All,21151,1108,3238,2721,960,1598,3819,3498,2389
Drumchapel / Anniesland,Males,9773,624,1272,761,735,1132,1435,1903,1114
Drumchapel / Anniesland,Females,11378,484,1966,1960,225,466,2384,1595,1275
Dumbarton,All,12681,813,2701,1892,666,1116,2184,1718,693
Dumbarton,Males,6186,515,1128,600,484,813,886,1009,347
Dumbarton,Females,6495,298,1573,1292,182,303,1298,709,346
Dunbar and East Linton,All,9556,1093,2202,1142,994,757,1423,1140,320
Dunbar and East Linton,Males,4652,739,915,266,639,546,508,655,167
Dunbar and East Linton,Females,4904,354,1287,876,355,211,915,485,153
Dunblane and Bridge of Allan,All,12174,1974,3089,1129,776,527,960,563,261
Dunblane and Bridge of Allan,Males,5772,1285,1333,269,446,365,318,306,118
Dunblane and Bridge of Allan,Females,6402,689,1756,860,330,162,642,257,143
Dunfermline Central,All,14405,1675,3689,2305,941,1071,1847,1360,615
Dunfermline Central,Males,7134,1162,1675,676,605,771,629,853,329
Dunfermline Central,Females,7271,513,2014,1629,336,300,1218,507,286
Dunfermline North,All,10437,914,2411,1671,607,830,1599,1296,497
Dunfermline North,Males,5051,642,1074,464,409,611,535,793,253
Dunfermline North,Females,5386,272,1337,1207,198,219,1064,503,244
Dunfermline South,All,15637,1579,3730,2528,888,1226,2290,1786,659
Dunfermline South,Males,7714,1055,1769,779,581,882,803,1082,320
Dunfermline South,Females,7923,524,1961,1749,307,344,1487,704,339
Dunoon,All,5610,281,1108,719,567,501,995,813,290
Dunoon,Males,2691,189,477,213,370,342,318,482,156
Dunoon,Females,2919,92,631,506,197,159,677,331,134
Dyce / Bucksburn / Danestone,All,14367,1384,3174,2252,796,1569,2265,1749,300
Dyce / Bucksburn / Danestone,Males,7151,951,1470,565,543,1212,805,1079,131
Dyce / Bucksburn / Danestone,Females,7216,433,1704,1687,253,357,1460,670,169
East Berwickshire,All,7819,540,1524,753,1147,671,1488,1074,250
East Berwickshire,Males,3867,359,691,160,762,477,557,577,118
East Berwickshire,Females,3952,181,833,593,385,194,931,497,132
East Centre,All,23266,1289,3446,2725,982,1789,3935,4022,2359
East Centre,Males,11732,704,1496,882,767,1263,1678,2267,1270
East Centre,Females,11534,585,1950,1843,215,526,2257,1755,1089
East End,All,11696,393,1643,1452,580,998,2318,2321,1080
East End,Males,5424,253,655,353,440,693,811,1252,524
East End,Females,6272,140,988,1099,140,305,1507,1069,556
East Garioch,All,9530,1568,2532,1458,760,857,1089,677,118
East Garioch,Males,4734,1091,1133,312,482,677,362,423,42
East Garioch,Females,4796,477,1399,1146,278,180,727,254,76
East Kilbride Central North,All,13074,999,2771,2289,779,1192,2009,1544,512
East Kilbride Central North,Males,6440,670,1206,655,580,882,719,974,277
East Kilbride Central North,Females,6634,329,1565,1634,199,310,1290,570,235
East Kilbride Central South,All,10298,547,1940,1779,579,986,1759,1496,411
East Kilbride Central South,Males,4949,369,827,508,433,693,633,889,229
East Kilbride Central South,Females,5349,178,1113,1271,146,293,1126,607,182
East Kilbride East,All,9081,592,1973,1575,607,784,1437,1073,366
East Kilbride East,Males,4421,395,839,439,470,571,541,654,196
East Kilbride East,Females,4660,197,1134,1136,137,213,896,419,170
East Kilbride South,All,11404,741,2084,1706,699,1034,2058,1736,453
East Kilbride South,Males,5481,486,916,476,523,749,710,1020,222
East Kilbride South,Females,5923,255,1168,1230,176,285,1348,716,231
East Kilbride West,All,11841,1694,3308,2033,939,635,1119,708,247
East Kilbride West,Males,5831,1145,1490,547,672,482,379,444,119
East Kilbride West,Females,6010,549,1818,1486,267,153,740,264,128
